case,age,breed,sex,attd,dehy,eye,jnts,post,pulse,resp,temp,umb,sepsis
1670,5,1,1,2,12,,0,2,,,37.6,0,0
8124,3,2,0,1,13.5,0,0,0,130,120,39.2,0,0
6954,2,3,1,2,,1,0,2,,,,1,1
2737,3,4,1,1,5,0,0,0,132,40,38.6,0,0
5341,3,5,0,1,0,0,0,1,128,48,38.6,1,1
6749,10,6,0,1,5.5,0,0,0,160,48,39.6,0,0
3234,4,7,0,2,7,0,1,2,180,84,39,1,1
2325,14,8,0,1,7,0,0,0,100,20,35,0,0
2925,4,9,0,1,5,0,0,0,150,52,39.5,0,0
7108,8,1,0,2,10,0,0,2,120,68,37.8,0,0
3600,19,1,1,1,8,,0,0,140,32,39.3,0,0
1599,7,1,1,1,4,0,0,0,126,20,39,0,0
1294,6,1,0,0,3,0,0,0,100,20,40,0,0
8476,2,1,0,1,12,0,0,1,80,16,34.1,0,1
7005,18,1,0,1,5,0,0,0,190,40,37.5,0,0
4957,7,1,0,2,10,0,0,2,100,40,35,0,0
1619,7,1,1,1,7.5,0,0,0,110,32,37,1,0
1586,8,1,1,2,10,0,0,2,88,36,36,0,0
5206,12,1,1,0,9,0,0,0,88,24,37.8,0,1
7173,7,1,1,1,10,0,0,1,120,42,39.5,0,1
9178,2,1,0,1,7.5,0,0,0,120,,36,0,0
3021,6,1,1,1,8,1,1,1,108,24,39.3,0,1
5119,7,1,0,1,4,0,0,0,180,36,39.7,0,0
4938,18,1,1,1,9,0,0,1,100,40,36.5,0,0
9005,7,1,1,2,,1,0,2,124,60,,0,1
1587,7,1,1,1,3,0,1,0,88,40,40,1,1
3167,12,1,1,1,7,0,0,1,124,32,38.4,0,0
3140,10,1,1,1,12,0,0,1,130,30,35.2,1,0
5237,9,1,0,1,10,0,0,1,100,44,39.3,0,0
1362,2,1,0,1,8,0,,2,110,50,37.5,0,1
8868,7,1,1,2,12,0,0,2,130,21,37.8,0,0
1591,1,1,1,1,10,0,0,2,129,27,36.5,1,0
1461,8,1,0,1,10,,0,0,90,36,37.5,,0
7160,3,1,0,1,5,0,0,2,60,80,35.9,0,0
1915,14,1,0,1,7,0,0,1,90,28,39.5,0,1
4867,2,1,1,2,12,0,0,2,133,20,35,0,0
9907,8,1,1,1,10,0,0,2,100,40,37.1,0,0
9269,2,2,0,1,15,0,0,1,132,66,39,0,0
2634,8,2,1,1,8,0,1,1,130,55,39.24,1,0
3056,11,2,1,0,0,0,0,0,90,42,39.2,0,0
1321,14,2,0,1,9,0,0,1,120,28,36.5,0,0
1772,11,2,1,1,4,0,0,0,122,40,39.4,1,0
7616,14,2,0,2,0,0,0,2,100,56,36,0,0
5528,14,2,0,1,3,0,0,1,80,40,39.3,0,0
8761,8,2,1,0,0,0,0,0,108,24,38.3,0,0
8772,12,2,0,1,5,0,0,0,128,16,35.8,0,1
3382,8,2,0,1,5,0,0,1,132,28,38,1,1
3166,5,2,0,1,12,0,0,2,64,48,39.1,1,0
9250,28,2,0,1,15,0,2,1,100,44,38.3,1,1
3191,5,2,0,1,9,0,0,0,72,30,38,0,0
10222,8,2,0,1,5,0,0,1,100,60,38.8,0,0
2600,7,2,1,1,5,0,0,0,90,,40.75,0,0
8589,14,2,0,1,10,0,0,1,136,24,40.3,0,0
1504,14,2,1,0,0,,0,0,90,40,40,,0
2652,14,2,0,2,6,0,0,2,60,24,34,0,0
10158,5,2,0,1,15,0,0,1,100,42,39.1,1,1
10179,3,2,0,1,6.5,0,0,2,85,90,39.6,0,1
3085,14,2,0,1,10,0,0,1,120,36,39,0,0
1701,12,2,1,1,5,0,0,0,80,20,37.5,0,0
7680,26,2,0,1,9,0,0,1,148,20,37.7,0,0
1327,10,2,0,1,4.5,0,0,0,120,20,39,0,0
1553,7,2,0,0,0,0,0,0,160,48,39.7,1,0
4294,3,2,1,2,10,,1,2,120,60,38.7,0,0
8517,3,2,0,1,8,0,0,1,92,24,37.8,0,0
10354,5,2,0,0,7,0,0,0,150,28,39.7,0,0
5066,5,2,0,1,13.5,0,0,1,120,48,36,0,0
6643,12,2,1,1,4,0,0,0,70,28,40.9,1,0
5211,2,2,0,2,10,0,0,2,130,60,35.4,0,1
7016,8,2,1,1,5.5,0,0,0,160,,39.5,1,1
8782,2,2,0,1,15,0,0,,90,30,38.9,0,0
8938,11,2,0,1,8,0,2,0,112,24,39.3,0,0
4512,11,2,0,1,7.5,0,0,1,132,32,39.2,1,0
2949,22,2,1,2,6,0,0,2,150,72,42,0,1
